"id";"tag";"geom";"data_source"
"164";"dog_park";"POINT (37.555774 55.774029)";"data.mos"
"165";"dog_park";"POINT (37.55882 55.86893)";"data.mos"
"166";"dog_park";"POINT (37.540976 55.872776)";"data.mos"
"167";"dog_park";"POINT (37.549369 55.875331)";"data.mos"
"168";"dog_park";"POINT (37.560746 55.870166)";"data.mos"
"169";"dog_park";"POINT (37.563574 55.863426)";"data.mos"
"170";"dog_park";"POINT (37.53371 55.874968)";"data.mos"
"171";"dog_park";"POINT (37.543342 55.869099)";"data.mos"
"172";"dog_park";"POINT (37.48833 55.81852)";"data.mos"
"173";"dog_park";"POINT (37.506264 55.81644)";"data.mos"
"174";"dog_park";"POINT (37.517302 55.818589)";"data.mos"
"175";"dog_park";"POINT (37.490098 55.830295)";"data.mos"
"176";"dog_park";"POINT (37.570014 55.855783)";"data.mos"
"177";"dog_park";"POINT (37.573522 55.862237)";"data.mos"
"178";"dog_park";"POINT (37.56707 55.864698)";"data.mos"
"179";"dog_park";"POINT (37.57034 55.870102)";"data.mos"
"180";"dog_park";"POINT (37.55705 55.883991)";"data.mos"
"181";"dog_park";"POINT (37.563475 55.892929)";"data.mos"
"182";"dog_park";"POINT (37.51194 55.856882)";"data.mos"
"183";"dog_park";"POINT (37.496447 55.846432)";"data.mos"
"184";"dog_park";"POINT (37.512226 55.862184)";"data.mos"
"185";"dog_park";"POINT (37.522255 55.850519)";"data.mos"
"186";"dog_park";"POINT (37.512473 55.858436)";"data.mos"
"187";"dog_park";"POINT (37.498074 55.852761)";"data.mos"
"188";"dog_park";"POINT (37.5288 55.895781)";"data.mos"
"189";"dog_park";"POINT (37.53396 55.880593)";"data.mos"
"190";"dog_park";"POINT (37.525768 55.881366)";"data.mos"
"191";"dog_park";"POINT (37.52123 55.889525)";"data.mos"
"192";"dog_park";"POINT (37.530662 55.891726)";"data.mos"
"193";"dog_park";"POINT (37.541403 55.877531)";"data.mos"
"194";"dog_park";"POINT (37.516064 55.885361)";"data.mos"
"195";"dog_park";"POINT (37.525488 55.86707)";"data.mos"
"196";"dog_park";"POINT (37.541642 55.863725)";"data.mos"
"197";"dog_park";"POINT (37.514631 55.879971)";"data.mos"
"198";"dog_park";"POINT (37.515451 55.876962)";"data.mos"
"199";"dog_park";"POINT (37.487105 55.884353)";"data.mos"
"200";"dog_park";"POINT (37.515845 55.871635)";"data.mos"
"201";"dog_park";"POINT (37.539645 55.839738)";"data.mos"
"202";"dog_park";"POINT (37.508229 55.834654)";"data.mos"
"203";"dog_park";"POINT (37.539511 55.813141)";"data.mos"
"204";"dog_park";"POINT (37.523401 55.828486)";"data.mos"
"205";"dog_park";"POINT (37.474669 55.864824)";"data.mos"
"206";"dog_park";"POINT (37.461873 55.874029)";"data.mos"
"207";"dog_park";"POINT (37.5818 55.792882)";"data.mos"
"208";"dog_park";"POINT (37.582551 55.794735)";"data.mos"
"209";"dog_park";"POINT (37.574704 55.799556)";"data.mos"
"210";"dog_park";"POINT (37.582426 55.797648)";"data.mos"
"211";"dog_park";"POINT (37.574867 55.792674)";"data.mos"
"212";"dog_park";"POINT (37.569172 55.798061)";"data.mos"
"213";"dog_park";"POINT (37.580744 55.799446)";"data.mos"
"214";"dog_park";"POINT (37.504769 55.858261)";"data.mos"
"215";"dog_park";"POINT (37.512842 55.780748)";"data.mos"
"216";"dog_park";"POINT (37.538684 55.774673)";"data.mos"
"217";"dog_park";"POINT (37.534636 55.77778)";"data.mos"
"218";"dog_park";"POINT (37.506875 55.802742)";"data.mos"
"219";"dog_park";"POINT (37.508457 55.795764)";"data.mos"
"220";"dog_park";"POINT (37.569418 55.90608)";"data.mos"
"221";"dog_park";"POINT (37.55735 55.86534)";"data.mos"
"222";"dog_park";"POINT (37.640053 55.807313)";"data.mos"
"223";"dog_park";"POINT (37.658931 55.813149)";"data.mos"
"224";"dog_park";"POINT (37.648486 55.82491)";"data.mos"
"225";"dog_park";"POINT (37.497046 55.644569)";"data.mos"
"226";"dog_park";"POINT (37.6511 55.828156)";"data.mos"
"227";"dog_park";"POINT (37.649134 55.820467)";"data.mos"
"228";"dog_park";"POINT (37.655553 55.821804)";"data.mos"
"229";"dog_park";"POINT (37.666582 55.820792)";"data.mos"
"230";"dog_park";"POINT (37.593664 55.826154)";"data.mos"
"231";"dog_park";"POINT (37.706276 55.873583)";"data.mos"
"232";"dog_park";"POINT (37.608888 55.898558)";"data.mos"
"233";"dog_park";"POINT (37.71826 55.88323)";"data.mos"
"234";"dog_park";"POINT (37.631459 55.893658)";"data.mos"
"235";"dog_park";"POINT (37.726665 55.880327)";"data.mos"
"236";"dog_park";"POINT (37.577211 55.822741)";"data.mos"
"237";"dog_park";"POINT (37.643016 55.853697)";"data.mos"
"238";"dog_park";"POINT (37.650363 55.849682)";"data.mos"
"239";"dog_park";"POINT (37.578166 55.830233)";"data.mos"
"240";"dog_park";"POINT (37.587854 55.807046)";"data.mos"
"241";"dog_park";"POINT (37.640156 55.873015)";"data.mos"
"242";"dog_park";"POINT (37.625333 55.871348)";"data.mos"
"243";"dog_park";"POINT (37.582523 55.83905)";"data.mos"
"244";"dog_park";"POINT (37.54769 55.934772)";"data.mos"
"245";"dog_park";"POINT (37.64868 55.865675)";"data.mos"
"246";"dog_park";"POINT (37.610527 55.875976)";"data.mos"
"247";"dog_park";"POINT (37.613414 55.704993)";"data.mos"
"248";"dog_park";"POINT (37.65719 55.829959)";"data.mos"
"249";"dog_park";"POINT (37.582408 55.827857)";"data.mos"
"250";"dog_park";"POINT (37.691838 55.878892)";"data.mos"
"251";"dog_park";"POINT (37.620214 55.800101)";"data.mos"
"252";"dog_park";"POINT (37.611286 55.789328)";"data.mos"
"253";"dog_park";"POINT (37.603263 55.793963)";"data.mos"
"254";"dog_park";"POINT (37.609817 55.799284)";"data.mos"
"255";"dog_park";"POINT (37.608141 55.80312)";"data.mos"
"256";"dog_park";"POINT (37.577547 55.909995)";"data.mos"
"257";"dog_park";"POINT (37.555911 55.90268)";"data.mos"
"258";"dog_park";"POINT (37.599195 55.823237)";"data.mos"
"259";"dog_park";"POINT (37.648648 55.865672)";"data.mos"
"260";"dog_park";"POINT (37.772505 55.671906)";"data.mos"
"261";"dog_park";"POINT (37.630309 55.804815)";"data.mos"
"262";"dog_park";"POINT (37.628471 55.817878)";"data.mos"
"263";"dog_park";"POINT (37.61984 55.887779)";"data.mos"
"264";"dog_park";"POINT (37.580262 55.830318)";"data.mos"
"265";"dog_park";"POINT (37.684403 55.698711)";"data.mos"
"266";"dog_park";"POINT (37.669118 55.861295)";"data.mos"
"267";"dog_park";"POINT (37.389655 55.890315)";"data.mos"
"268";"dog_park";"POINT (37.391744 55.883838)";"data.mos"
"269";"dog_park";"POINT (37.381157 55.899552)";"data.mos"
"270";"dog_park";"POINT (37.593347 55.748829)";"data.mos"
"271";"dog_park";"POINT (37.4939 55.772026)";"data.mos"
"272";"dog_park";"POINT (37.426759 55.842764)";"data.mos"
"273";"dog_park";"POINT (37.414209 55.838453)";"data.mos"
"274";"dog_park";"POINT (37.453385 55.850196)";"data.mos"
"275";"dog_park";"POINT (37.427912 55.845139)";"data.mos"
"276";"dog_park";"POINT (37.458779 55.835512)";"data.mos"
"277";"dog_park";"POINT (37.439011 55.837018)";"data.mos"
"278";"dog_park";"POINT (37.447315 55.835429)";"data.mos"
"279";"dog_park";"POINT (37.442386 55.873796)";"data.mos"
"280";"dog_park";"POINT (37.407881 55.858837)";"data.mos"
"281";"dog_park";"POINT (37.47981 55.79963)";"data.mos"
"282";"dog_park";"POINT (37.4496 55.81126)";"data.mos"
"283";"dog_park";"POINT (37.45085 55.80418)";"data.mos"
"284";"dog_park";"POINT (37.482121 55.769524)";"data.mos"
"285";"dog_park";"POINT (37.488278 55.785375)";"data.mos"
"286";"dog_park";"POINT (37.447204 55.789065)";"data.mos"
"287";"dog_park";"POINT (37.486924 55.782161)";"data.mos"
"288";"dog_park";"POINT (37.466703 55.789683)";"data.mos"
"289";"dog_park";"POINT (37.465688 55.768926)";"data.mos"
"290";"dog_park";"POINT (37.348793 55.841891)";"data.mos"
"291";"dog_park";"POINT (37.345947 55.32648)";"data.mos"
"292";"dog_park";"POINT (37.34701 55.604549)";"data.mos"
"293";"dog_park";"POINT (37.472474 55.623981)";"data.mos"
"294";"dog_park";"POINT (37.493984 55.485211)";"data.mos"
"295";"dog_park";"POINT (37.539401 55.476038)";"data.mos"
"296";"dog_park";"POINT (37.403197 55.417109)";"data.mos"
"297";"dog_park";"POINT (37.070024 55.212117)";"data.mos"
"298";"dog_park";"POINT (37.617142 55.741144)";"data.mos"
"299";"dog_park";"POINT (37.617906 55.73614)";"data.mos"
"300";"dog_park";"POINT (37.61859 55.734081)";"data.mos"
"301";"dog_park";"POINT (37.62067 55.736149)";"data.mos"
"302";"dog_park";"POINT (37.59161 55.730202)";"data.mos"
"303";"dog_park";"POINT (37.585982 55.75475)";"data.mos"
"304";"dog_park";"POINT (37.638871 55.790758)";"data.mos"
"305";"dog_park";"POINT (37.643521 55.781171)";"data.mos"
"306";"dog_park";"POINT (37.643862 55.737746)";"data.mos"
"307";"dog_park";"POINT (37.629152 55.731717)";"data.mos"
"308";"dog_park";"POINT (37.660184 55.784366)";"data.mos"
"309";"dog_park";"POINT (37.5909 55.7863)";"data.mos"
"310";"dog_park";"POINT (37.650246 55.740745)";"data.mos"
"311";"dog_park";"POINT (37.658924 55.754081)";"data.mos"
"312";"dog_park";"POINT (37.674256 55.739198)";"data.mos"
"313";"dog_park";"POINT (37.53719 55.754723)";"data.mos"
"314";"dog_park";"POINT (37.658804 55.760016)";"data.mos"
"315";"dog_park";"POINT (37.658586 55.759519)";"data.mos"
"316";"dog_park";"POINT (37.573226 55.762174)";"data.mos"
"317";"dog_park";"POINT (37.583899 55.764931)";"data.mos"
"318";"dog_park";"POINT (37.519935 55.753377)";"data.mos"
"319";"dog_park";"POINT (37.595277 55.765192)";"data.mos"
"320";"dog_park";"POINT (37.539186 55.758243)";"data.mos"
"321";"dog_park";"POINT (37.51763 55.757542)";"data.mos"
"322";"dog_park";"POINT (37.580486 55.771304)";"data.mos"
"323";"dog_park";"POINT (37.8025 55.63048)";"data.mos"
"324";"dog_park";"POINT (37.774556 55.659411)";"data.mos"
"325";"dog_park";"POINT (37.766542 55.655036)";"data.mos"
"326";"dog_park";"POINT (37.77 55.66)";"data.mos"
"327";"dog_park";"POINT (37.758829 55.663941)";"data.mos"
"328";"dog_park";"POINT (37.78714 55.67084)";"data.mos"
"329";"dog_park";"POINT (37.75921 55.667982)";"data.mos"
"330";"dog_park";"POINT (37.806674 55.673378)";"data.mos"
"331";"dog_park";"POINT (37.770116 55.675571)";"data.mos"
"332";"dog_park";"POINT (37.75003 55.66898)";"data.mos"
"333";"dog_park";"POINT (37.793432 55.674404)";"data.mos"
"334";"dog_park";"POINT (37.753049 55.669527)";"data.mos"
"335";"dog_park";"POINT (37.759552 55.675251)";"data.mos"
"336";"dog_park";"POINT (37.743415 55.666357)";"data.mos"
"337";"dog_park";"POINT (37.799526 55.678932)";"data.mos"
"338";"dog_park";"POINT (37.916363 55.703214)";"data.mos"
"339";"dog_park";"POINT (37.9163 55.7032)";"data.mos"
"340";"dog_park";"POINT (37.759124 55.701702)";"data.mos"
"341";"dog_park";"POINT (37.785539 55.699938)";"data.mos"
"342";"dog_park";"POINT (37.76991093 55.71231023)";"data.mos"
"343";"dog_park";"POINT (37.789658 55.706397)";"data.mos"
"344";"dog_park";"POINT (37.8464 55.6883)";"data.mos"
"345";"dog_park";"POINT (37.8515 55.6789)";"data.mos"
"346";"dog_park";"POINT (37.8431 55.6828)";"data.mos"
"347";"dog_park";"POINT (37.666972 55.716914)";"data.mos"
"348";"dog_park";"POINT (37.674037 55.708927)";"data.mos"
"349";"dog_park";"POINT (37.72268 55.69417)";"data.mos"
"350";"dog_park";"POINT (37.663584 55.727577)";"data.mos"
"351";"dog_park";"POINT (37.720548 55.674511)";"data.mos"
"352";"dog_park";"POINT (37.720951 55.676573)";"data.mos"
"353";"dog_park";"POINT (37.541564 55.691844)";"data.mos"
"354";"dog_park";"POINT (37.715722 55.682473)";"data.mos"
"355";"dog_park";"POINT (37.709576 55.658036)";"data.mos"
"356";"dog_park";"POINT (37.7918 55.7129)";"data.mos"
"357";"dog_park";"POINT (37.7797 55.7109)";"data.mos"
"358";"dog_park";"POINT (37.527704 55.632263)";"data.mos"
"359";"dog_park";"POINT (37.7544 55.716)";"data.mos"
"360";"dog_park";"POINT (37.773655003666 55.730681849828)";"data.mos"
"361";"dog_park";"POINT (37.7826 55.7201)";"data.mos"
"362";"dog_park";"POINT (37.7383 55.7244)";"data.mos"
"363";"dog_park";"POINT (37.7427 55.719)";"data.mos"
"364";"dog_park";"POINT (37.7416 55.6924)";"data.mos"
"365";"dog_park";"POINT (37.7245 55.7145)";"data.mos"
"366";"dog_park";"POINT (37.711387 55.764139)";"data.mos"
"367";"dog_park";"POINT (37.567328 55.678393)";"data.mos"
"368";"dog_park";"POINT (37.593042254448 55.675184219917)";"data.mos"
"369";"dog_park";"POINT (37.59101 55.693357)";"data.mos"
"370";"dog_park";"POINT (37.583556 55.67954)";"data.mos"
"371";"dog_park";"POINT (37.566913 55.682784)";"data.mos"
"372";"dog_park";"POINT (37.566966 55.687565)";"data.mos"
"373";"dog_park";"POINT (37.5557 55.68281)";"data.mos"
"374";"dog_park";"POINT (37.569964 55.548203)";"data.mos"
"375";"dog_park";"POINT (37.534566 55.546858)";"data.mos"
"376";"dog_park";"POINT (37.511405 55.544003)";"data.mos"
"377";"dog_park";"POINT (37.579925 55.536592)";"data.mos"
"378";"dog_park";"POINT (37.588901 55.502487)";"data.mos"
"379";"dog_park";"POINT (37.533348 55.549824)";"data.mos"
"380";"dog_park";"POINT (37.557096 55.542444)";"data.mos"
"381";"dog_park";"POINT (37.573912 55.663863)";"data.mos"
"382";"dog_park";"POINT (37.515703 55.655067)";"data.mos"
"383";"dog_park";"POINT (37.598708 55.666751)";"data.mos"
"384";"dog_park";"POINT (37.547412 55.676249)";"data.mos"
"385";"dog_park";"POINT (37.529811 55.688761)";"data.mos"
"386";"dog_park";"POINT (37.521925 55.676727)";"data.mos"
"387";"dog_park";"POINT (37.522085 55.661716)";"data.mos"
"388";"dog_park";"POINT (37.522299 55.638102)";"data.mos"
"389";"dog_park";"POINT (37.509872 55.642805)";"data.mos"
"390";"dog_park";"POINT (37.524741 55.635408)";"data.mos"
"391";"dog_park";"POINT (37.516787 55.640823)";"data.mos"
"392";"dog_park";"POINT (37.540856 55.688553)";"data.mos"
"393";"dog_park";"POINT (37.574489 55.707286)";"data.mos"
"394";"dog_park";"POINT (37.547452 55.68444)";"data.mos"
"395";"dog_park";"POINT (37.558318 55.696339)";"data.mos"
"396";"dog_park";"POINT (37.598025798798 55.680509208685)";"data.mos"
"397";"dog_park";"POINT (37.602612376213 55.672948748751)";"data.mos"
"398";"dog_park";"POINT (37.573954 55.652662)";"data.mos"
"399";"dog_park";"POINT (37.590136 55.662588)";"data.mos"
"400";"dog_park";"POINT (37.583556 55.645553)";"data.mos"
"401";"dog_park";"POINT (37.587583 55.649593)";"data.mos"
"402";"dog_park";"POINT (37.56419 55.670298)";"data.mos"
"403";"dog_park";"POINT (37.568283 55.671047)";"data.mos"
"404";"dog_park";"POINT (37.567975 55.656168)";"data.mos"
"405";"dog_park";"POINT (37.57789 55.648654)";"data.mos"
"406";"dog_park";"POINT (37.577265 55.562599)";"data.mos"
"407";"dog_park";"POINT (37.590801 55.569994)";"data.mos"
"408";"dog_park";"POINT (37.524499 55.602886)";"data.mos"
"409";"dog_park";"POINT (37.51157 55.602496)";"data.mos"
"410";"dog_park";"POINT (37.54799 55.593691)";"data.mos"
"411";"dog_park";"POINT (37.51 55.609464)";"data.mos"
"412";"dog_park";"POINT (37.545071 55.617156)";"data.mos"
"413";"dog_park";"POINT (37.523549 55.608677)";"data.mos"
"414";"dog_park";"POINT (37.636151 55.598858)";"data.mos"
"415";"dog_park";"POINT (37.655906 55.587138)";"data.mos"
"416";"dog_park";"POINT (37.640139 55.585014)";"data.mos"
"417";"dog_park";"POINT (37.734064 55.63386)";"data.mos"
"418";"dog_park";"POINT (37.768755 55.63495)";"data.mos"
"419";"dog_park";"POINT (37.766895 55.643612)";"data.mos"
"420";"dog_park";"POINT (37.750077 55.638738)";"data.mos"
"421";"dog_park";"POINT (37.765669 55.630288)";"data.mos"
"422";"dog_park";"POINT (37.662455 55.710891)";"data.mos"
"423";"dog_park";"POINT (37.660052 55.722394)";"data.mos"
"424";"dog_park";"POINT (37.642156 55.714206)";"data.mos"
"425";"dog_park";"POINT (37.627565 55.715496)";"data.mos"
"426";"dog_park";"POINT (37.659666 55.706982)";"data.mos"
"427";"dog_park";"POINT (37.613544 55.6932)";"data.mos"
"428";"dog_park";"POINT (37.603198 55.707758)";"data.mos"
