"id";"name";"lat";"lng";"geom"
60660466;Медведково;55.8871805;37.6614355;"POINT (37.6614355 55.8871805)"
68916801;Партизанская;55.7886007;37.7509817;"POINT (37.7509817 55.7886007)"
242546356;Бауманская;55.7731188;37.6804;"POINT (37.6804 55.7731188)"
242546475;Площадь Революции;55.7567678;37.6218635;"POINT (37.6218635 55.7567678)"
244036218;Кунцевская;55.7307016;37.4460094;"POINT (37.4460094 55.7307016)"
252934400;Кузнецкий Мост;55.7607176;37.6260335;"POINT (37.6260335 55.7607176)"
252934401;Китай-город;55.7555181;37.633321;"POINT (37.633321 55.7555181)"
253016893;Текстильщики;55.7087389;37.7318594;"POINT (37.7318594 55.7087389)"
253016895;Выхино;55.7156286;37.8179145;"POINT (37.8179145 55.7156286)"
253017004;Рязанский проспект;55.7171022;37.7935119;"POINT (37.7935119 55.7171022)"
253228506;Александровский сад;55.7524289;37.6087611;"POINT (37.6087611 55.7524289)"
253375111;Киевская;55.7437596;37.5656092;"POINT (37.5656092 55.7437596)"
253780238;Славянский бульвар;55.7296513;37.4707311;"POINT (37.4707311 55.7296513)"
255744331;Новогиреево;55.7517135;37.8167171;"POINT (37.8167171 55.7517135)"
255744578;Шоссе Энтузиастов;55.7574684;37.7493161;"POINT (37.7493161 55.7574684)"
266835841;Речной вокзал;55.8548609;37.4762048;"POINT (37.4762048 55.8548609)"
266835844;Водный стадион;55.8400444;37.4865846;"POINT (37.4865846 55.8400444)"
266835845;Войковская;55.8190236;37.4979002;"POINT (37.4979002 55.8190236)"
266835846;Сокол;55.8052091;37.5150702;"POINT (37.5150702 55.8052091)"
267335088;Комсомольская;55.7752438;37.656081;"POINT (37.656081 55.7752438)"
267335315;Охотный Ряд;55.7578301;37.6163299;"POINT (37.6163299 55.7578301)"
267335316;Лубянка;55.7599346;37.6277544;"POINT (37.6277544 55.7599346)"
267335317;Чистые пруды;55.7658946;37.6388932;"POINT (37.6388932 55.7658946)"
268521588;Свиблово;55.8551629;37.6526719;"POINT (37.6526719 55.8551629)"
277499099;Рижская;55.7936814;37.6362941;"POINT (37.6362941 55.7936814)"
277499848;Проспект Мира;55.7809058;37.632017;"POINT (37.632017 55.7809058)"
277499852;Третьяковская;55.7411829;37.6271378;"POINT (37.6271378 55.7411829)"
277499853;Октябрьская;55.7305821;37.6111677;"POINT (37.6111677 55.7305821)"
282411334;Ленинский проспект;55.7076566;37.586119;"POINT (37.586119 55.7076566)"
291686079;Парк Культуры;55.7359131;37.5913851;"POINT (37.5913851 55.7359131)"
291686160;Октябрьская;55.7298063;37.609684;"POINT (37.609684 55.7298063)"
292143796;Новокузнецкая;55.7414147;37.629373;"POINT (37.629373 55.7414147)"
292146578;Автозаводская;55.7073793;37.6576204;"POINT (37.6576204 55.7073793)"
