s_id,name,geom,status,func,url,address,end_year
metro_station-92,"""Столбово""",POINT (37.461328472733 55.573916319347),designed,metro,https://stroi.mos.ru/metro/station/92,"Россия, Москва, поселение Сосенское, деревня Столбово",
metro_station-47,"""Спартак""",POINT (37.434801 55.817234),operation,metro,https://stroi.mos.ru/metro/station/47,,
metro_station-16,"""Зябликово""",POINT (37.745205 55.612329),operation,metro,https://stroi.mos.ru/metro/station/16,"Россия, Москва, метро Зябликово",
metro_station-30,"""Новокосино""",POINT (37.864052 55.745113),operation,metro,https://stroi.mos.ru/metro/station/30,,
metro_station-61,"""Шипиловская""",POINT (37.743723 55.620982),operation,metro,https://stroi.mos.ru/metro/station/61,,
metro_station-35,"""Парк Победы""",POINT (37.516925 55.736164),operation,metro,https://stroi.mos.ru/metro/station/35,,
metro_station-4,"""Битцевский парк""",POINT (37.555328 55.601188),operation,metro,https://stroi.mos.ru/metro/station/4,,
road-30,Варшавское шоссе,POINT (37.607951 55.608114),operation,road,https://stroi.mos.ru/road/trunk/30,,
construction-2169,ТПУ Шелепиха,POINT (37.524804 55.756063),designed,tpu,https://stroi.mos.ru/construction/2169,"Москва, территория ограниченная Шмитовским проездом, 3-й Магистральной ул., Шелепихинским шоссе, в районе строящейся станции метро ""Шелепиха""",2022
construction-2272,Стартовые площадки,POINT (37.538632 55.86896),designed,renov-2023,https://stroi.mos.ru/construction/2272,"Бескудниковский, кв. 8, 9, к. 24",2021
construction-2277,Стартовые площадки,POINT (37.875318 55.818776),designed,renov-2023,https://stroi.mos.ru/construction/2277,"пос. Восточный, уч. 1, 2",2021
construction-2239,Кинотеатр «Керчь»,POINT (37.664114 55.595552),designed,cinema,https://stroi.mos.ru/construction/2239,"ул. Бирюлевская, д. 17",2020
construction-2335,Храм в честь преподобного Сергия Радонежского,POINT (37.8328 55.823975),designed,religion,https://stroi.mos.ru/construction/2335,"ул. Красноярская, вл. 11",
construction-2323,Храм в честь преподобного Серафима Саровского,POINT (37.561095 55.873258),construction,religion,https://stroi.mos.ru/construction/2323,"ул. Дубнинская, вл. 24",
construction-2328,Храм в честь иконы Божией Матери «Отрада и Утешение»,POINT (37.598021 55.653465),construction,religion,https://stroi.mos.ru/construction/2328,на пересечении улиц Каховка и Азовская,
construction-2265,Кинотеатр «Рига»,POINT (37.583158 55.84535),designed,cinema,https://stroi.mos.ru/construction/2265,"Ботаническая улица, д. 39",2020
metro_station-66,"""Давыдково""",POINT (37.452772347221 55.715518457605),designed,metro,https://stroi.mos.ru/metro/station/66,,
metro_station-28,"""Нижегородская""",POINT (37.725516383842 55.731514823915),construction,metro,https://stroi.mos.ru/metro/station/28,"Россия, Москва, Рязанский проспект",
metro_station-80,"""Нижегородская""",POINT (37.72811 55.732028),construction,metro,https://stroi.mos.ru/metro/station/80,"Россия, Москва, Рязанский проспект",
metro_station-85,"""Внуково""",POINT (37.2924 55.608475),designed,metro,https://stroi.mos.ru/metro/station/85,,
metro_station-54,"""Улица Новаторов""",POINT (37.520344892119 55.670812515286),designed,metro,https://stroi.mos.ru/metro/station/54,"Россия, Москва, улица Новаторов",
construction-2152,ТПУ «Столбово»,POINT (37.465892 55.57833),designed,tpu,https://stroi.mos.ru/construction/2152,,2020
metro_station-23,"""Ломоносовский проспект""",POINT (37.514313653557 55.706333387255),operation,metro,https://stroi.mos.ru/metro/station/23,"Россия, Москва, Мичуринский проспект",
metro_station-42,"""Румянцево""",POINT (37.441395 55.633028),operation,metro,https://stroi.mos.ru/metro/station/42,"Россия, Москва, Сокольническая линия, метро Румянцево",
