geom,CommonName,global_id,FullName
"MULTIPOINT (37.617378931636 55.891657758304, 37.585578895052 55.859288297896, 37.653339691498 55.836416142272, 37.657072533085 55.886375415862)",Территориальная клубная система «Товарищ»,637641274,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Товарищ»
"MULTIPOINT (37.609622452687 55.635927175595, 37.647377786596 55.579279063548)",Центр культуры и спорта,637641275,Государственное бюджетное учреждение культуры города Москвы «Центр культуры и спорта»
"MULTIPOINT (37.571042686552 55.82425988339, 37.516390450559 55.796384403116, 37.556586494127 55.882825957875, 37.530880289336 55.831384684876)",Центр культуры «Гармония»,637641277,Государственное бюджетное учреждение культуры города Москвы «Центр культуры «Гармония»
"MULTIPOINT (37.399865763496 55.64585781516, 37.394430092977 55.650406345873, 37.384815547021 55.649185105526, 37.3924631122 55.648965290853, 37.388847836483 55.654796219353, 37.409017943341 55.648094408325, 37.398351828269 55.65135574261, 37.405845568677 55.655778329418)",Территориальная клубная система «Солнцево»,637691474,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Солнцево»
"MULTIPOINT (37.454916555001 55.684078716773, 37.46035617709 55.6829460375, 37.454494312745 55.676398456191, 37.485833203907 55.710919662206, 37.476956595901 55.70580007643, 37.467947147857 55.702648904624)",Территориальная клубная система «Планета»,637691475,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»
"MULTIPOINT (37.705875583032 55.610823808924, 37.705167469827 55.612355921837, 37.708845765478 55.615613371001, 37.701047306596 55.622883332071, 37.701047306596 55.622883332071, 37.70860322697 55.607908599771, 37.719347197415 55.62710797777, 37.701796959141 55.624891200733, 37.725842943608 55.624234417901, 37.7069429498 55.611669386698)",Территориальная клубная система «Орехово»,637691478,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Орехово»
"MULTIPOINT (37.531916239262 55.731415654578, 37.500085544988 55.66495043166, 37.468423153156 55.648412493924, 37.487788274912 55.69439668378, 37.499038713718 55.679183445583, 37.488543679423 55.660379889668, 37.538911396456 55.733304789454, 37.481690155321 55.684767996279, 37.513149672528 55.673127298117, 37.491294951683 55.654537471787)",Территориальная клубная система «Оптимист»,637854413,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»
"MULTIPOINT (37.360953253946 55.640600741335, 37.347963884597 55.645165345054, 37.361675160036 55.640920993162, 37.343881120563 55.646431750324, 37.338235942826 55.643002380718, 37.336850077063 55.642754522986, 37.353097393144 55.653156311029, 37.343925466073 55.647073660896, 37.352007833122 55.639543751714, 37.350611291594 55.638134925661, 37.371285597755 55.643780487644)",Территориальная клубная система «Ново-Переделкино»,638230714,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Ново-Переделкино»
"MULTIPOINT (37.195138904028 55.993940472113, 37.234745649378 55.998353285341, 37.149403847068 55.987172377455, 37.201430572516 55.999752825959, 37.177622329649 55.981491616097, 37.234988374108 55.985956778442)",Культурный центр «Доброволец»,638230715,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Доброволец»
"MULTIPOINT (37.121180228337 55.589603942542, 37.259948613294 55.636119491037, 37.206625037881 55.594092349262, 37.295102371064 55.613075853154)",Культурный центр «Внуково»,638230716,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Внуково»
