geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/Name,properties/Attributes/global_id,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/DescriptionLocation,properties/Attributes/Address,properties/Attributes/EventDate,properties/Attributes/TIME,properties/Attributes/PaymentInfo,type
37.66718411108355,55.794897296084876,Point,2249,1,25,,Сафари-тир,837584545,Восточный административный округ,район Сокольники,ГАУК г. Москвы «Парк культуры и отдыха «Сокольники»,Пересечение Песочной аллеи и Митьковского проезда,Круглогодично,В будние дни с 11:00 до 21:00; в выходные с 10:00 до 22:00,Платно,Feature
37.67638642327843,55.76812649772708,Point,2249,1,25,,Клуб «Басманники»,840233084,Центральный административный округ,Басманный район,ГБУК г.Москвы «ЦБС ЦАО» Библиотека №20 имени А.А.Дельвига,"Аптекарский переулок, дом 8/2, строение 1","Январь-декабрь, кроме: июнь,июль,август",Второй четверг месяца с 14:15 до 15:00,Бесплатно,Feature
37.55752,55.729873,Point,2249,1,25,,Клуб «Lingvo orientalis»,840233122,Центральный административный округ,район Хамовники,"ГБУК г.Москвы «ЦБС ЦАО», Библиотека №5 имени М.А.Волошина","Новодевичий проезд, дом 10","Январь-декабрь, кроме: июль,август",Ежедневно с 19:00,Бесплатно,Feature
37.66816683928645,55.646112649094846,Point,2249,1,25,,Детский классический балет «Надежда»,861098409,Южный административный округ,район Москворечье-Сабурово,ГБУК г. Москвы «Творческий центр «Москворечье»,"Каширское шоссе, дом 52","Понедельник, четверг, пятница",В 15:30/16:00/17:30,Занятия,Feature
37.608436283406,55.769864746886,Point,2249,1,25,,Детская площадка,64610136,Центральный административный округ,Тверской район,"ГАУК города Москвы «Московский городской сад «Эрмитаж», территория сада","улица Каретный ряд, владение 3",Круглогодично,Круглосуточно,Вход бесплатный,Feature
37.656901,55.759957,Point,2249,1,25,,Кинотеатр« «Звезда»,861098375,Центральный административный округ,Басманный район,"ГБУК г.Москвы «Московское кино», кинотеатр «Звезда»","улица Земляной Вал, дом 18/22, строение 2",В течение всего года,С 9:30 до 21:30,Бесплатно,Feature
37.92240374008876,55.68382000996549,Point,2249,1,25,,«В Ритме» - клуб любителей рэпа,840257460,Юго-Восточный административный округ,район Некрасовка,ГБУК г. Москвы «Дом культуры «Заречье»,"улица 1-я Вольская, дом 11","Вторник, пятница","С 16:00-18:00, 16:00-17:00, 20:00-21:45",Бесплатно,Feature
37.73087349206526,55.71393021379874,Point,2249,1,25,,"Любительское объединения «Хочу все знать». Выявление и развитие творческих, интеллектуальных способностей дошкольников и младших школьников, так же проявления интереса к чтению литературы; - создание красивых и оригинальных поделок своими руками из разных материалов; -	развитие у ребенка познавательного интереса, воображения, фантазии, креативности мышления (умения гибко, оригинально мыслить, видеть обыкновенный объект под новым углом зрения); - воспитание усидчивости, аккуратности; умения работать в группе, развитие мелкой моторики руки.",840252256,Юго-Восточный административный округ,район Текстильщики,"ГБУК г. Москвы «ЦБС ЮВАО», Библиотека № 113","улица Саратовская, дом 1, корпус 2",С января 2018 по май 2018,С 17:00 до 19:00 - 2 раза в месяц по пятницам,Бесплатно,Feature
37.685493380980716,55.800769400827924,Point,2249,1,25,,Детская площадка 4,837586319,Восточный административный округ,район Сокольники,ГАУК города Москвы «Парк культуры и отдыха «Сокольники»,"Парк Сокольники, Лебяжий пруд",Круглогодично,09:00-19:00,Бесплатно,Feature
37.538799,55.613768,Point,2249,1,25,,Студия «Каратэ»,861098058,Юго-Западный административный округ,район Ясенево,ГБУК г.Москвы «Культурный центр «Вдохновение»,"Литовский бульвар, дом 7","Вторник, пятница",5-6 лет с 17:00 до 17:45; 7-11 лет с 18:00 до 18:45; с 12 лет с 19:00 до 20:00,Платно,Feature
37.51715053372943,55.85121350497642,Point,2249,1,25,,Студия «Мальвина»,840230973,Северный административный округ,Головинский район,"ГБУК г. Москвы «ЦБС САО», Библиотека № 44","улица Онежская, дом 17, корпус 4, 5",Среда,С 18.00-19.00,Платно,Feature
37.589994,55.891663,Point,2249,1,25,,Отчетные выставки ИЗОстудий дома культуры,841846236,Северо-Восточный административный округ,район Бибирево,ГБУК г. Москвы «Дом культуры «Темп»,"Шенкурский проезд, дом 3А",Каждый месяц с 25 по 30 число,17:00,Свободная,Feature
37.548923,55.755302,Point,2249,1,25,,Тюбинговая горка,861098235,Центральный административный округ,Пресненский район,ГАУК г. Москвы «Парк культуры и отдыха «Красная Пресня»,"улица Мантулинская, дом 5, строение 4, рядом со зданием проката",В зимний период,"С 10:00-22:00 в будни, 10:00-23:00 в выходные",Платно,Feature
37.171837,55.987266,Point,2249,1,25,,"Клубные занятия: «Творим вместе», «Давайте поиграем в английский», «Батик»; проведение мастер-классов, выставок книжных экспозиций.",861098405,Зеленоградский административный округ,район Силино,"ГБУК г. Москвы «Творческий лицей», вход в торце здания","Зеленоград, улица Гоголя, дом 11 А",с понедельника по пятницу,с 11.00 до 19.00,Посещение,Feature
37.451588639564285,55.862678063632416,Point,2249,1,25,,Каток с натуральным льдом,841863545,Северо-Западный административный округ,район Северное Тушино,"ГАУК г. Москвы «МПК «Северное Тушино», в центральной части парка","улица Свободы, дом 56, строение 1",В зимний период,с 10:00 до 22:00,Бесплатно,Feature
