"id";"tag";"geom";"data_source"
"112";"sports_centre";"POINT (37.723047 55.5963621)";"OpenStreetMap"
"113";"sports_centre";"POINT (37.7159081 55.6087745)";"OpenStreetMap"
"114";"sauna";"POINT (36.6913241 55.6831599)";"OpenStreetMap"
"115";"playground";"POINT (37.7028628 55.6109779)";"OpenStreetMap"
"116";"playground";"POINT (37.6987023 55.6119628)";"OpenStreetMap"
"117";"playground";"POINT (37.2837378 55.7252553)";"OpenStreetMap"
"118";"playground";"POINT (37.7259354 55.6086054)";"OpenStreetMap"
"119";"playground";"POINT (37.7303125 55.6091908)";"OpenStreetMap"
"120";"playground";"POINT (37.7319495 55.6062423)";"OpenStreetMap"
"121";"playground";"POINT (37.5071055 55.4325549)";"OpenStreetMap"
"122";"playground";"POINT (37.6550905 55.6364174)";"OpenStreetMap"
"123";"playground";"POINT (37.6531983 55.6359334)";"OpenStreetMap"
"124";"playground";"POINT (37.651533 55.6360405)";"OpenStreetMap"
"125";"playground";"POINT (37.6509193 55.6347282)";"OpenStreetMap"
"126";"playground";"POINT (37.6520229 55.634923)";"OpenStreetMap"
"127";"playground";"POINT (37.6555487 55.6347915)";"OpenStreetMap"
"128";"fitness_centre";"POINT (37.6709757 55.7735712)";"OpenStreetMap"
"129";"playground";"POINT (37.6560548 55.6328855)";"OpenStreetMap"
"130";"playground";"POINT (36.7004284 55.6812206)";"OpenStreetMap"
"131";"fitness_centre";"POINT (37.9365031 55.8033127)";"OpenStreetMap"
"132";"playground";"POINT (37.9382155 55.7903519)";"OpenStreetMap"
"133";"swimming_pool";"POINT (37.6264776 55.7838593)";"OpenStreetMap"
"134";"sauna";"POINT (37.6265087 55.7802492)";"OpenStreetMap"
"135";"swimming_pool";"POINT (37.6264664 55.7828092)";"OpenStreetMap"
"136";"sauna";"POINT (37.6264854 55.7819408)";"OpenStreetMap"
"137";"playground";"POINT (37.7037256 55.6136331)";"OpenStreetMap"
"138";"pitch";"POINT (37.4007946 55.8387454)";"OpenStreetMap"
"139";"playground";"POINT (38.8675657 55.6043181)";"OpenStreetMap"
"140";"playground";"POINT (37.4037241 55.8377299)";"OpenStreetMap"
"141";"sauna";"POINT (36.8748471 55.7660881)";"OpenStreetMap"
"142";"playground";"POINT (37.3551823 55.8882739)";"OpenStreetMap"
"143";"playground";"POINT (37.5930227 55.6191523)";"OpenStreetMap"
"144";"playground";"POINT (37.4631895 55.7863435)";"OpenStreetMap"
"145";"playground";"POINT (37.4638809 55.7868131)";"OpenStreetMap"
"146";"playground";"POINT (37.4609687 55.7866813)";"OpenStreetMap"
"147";"playground";"POINT (37.4619128 55.7867778)";"OpenStreetMap"
"148";"playground";"POINT (37.4604751 55.7877551)";"OpenStreetMap"
"149";"playground";"POINT (37.4636187 55.7891847)";"OpenStreetMap"
"150";"playground";"POINT (37.4620415 55.7859634)";"OpenStreetMap"
"151";"playground";"POINT (37.9762316 55.7984317)";"OpenStreetMap"
"152";"pitch";"POINT (37.7323397 55.6162412)";"OpenStreetMap"
"153";"sports_centre";"POINT (37.5003758 55.9473088)";"OpenStreetMap"
"154";"swimming_pool";"POINT (37.4481762 55.8183837)";"OpenStreetMap"
"155";"playground";"POINT (38.4388755 55.800167)";"OpenStreetMap"
"156";"playground";"POINT (37.2561636 55.68355)";"OpenStreetMap"
"157";"playground";"POINT (37.2500291 55.6776999)";"OpenStreetMap"
"158";"playground";"POINT (37.2519007 55.6794653)";"OpenStreetMap"
"159";"sports_centre";"POINT (37.2372137 56.0398946)";"OpenStreetMap"
"160";"playground";"POINT (37.5012912 55.7458601)";"OpenStreetMap"
"161";"playground";"POINT (37.5028321 55.746223)";"OpenStreetMap"
"162";"playground";"POINT (37.5018846 55.7467731)";"OpenStreetMap"
"163";"playground";"POINT (37.5012617 55.7463387)";"OpenStreetMap"
