Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
"пр-т Мира, д.41, стр.2",0441,False,POINT (37.6317848 55.7815506),12,12,0,0,0
"ул. Сергея Эйзенштейна, д.1",0445,False,POINT (37.647529 55.8277664),12,12,0,10,0
"ул. Академика Королёва, д.8А",0470,False,POINT (37.623526 55.8217153),12,12,0,7,0
"ул. Яблочкова, д.18",0480,False,POINT (37.5807216 55.8205976),12,12,0,10,0
"ул. Милашенкова, д.12Д",0481,False,POINT (37.5805768 55.8278585),12,12,0,7,0
"ул. Руставели, д.12/13",0482,False,POINT (37.5942708 55.8133394),12,12,0,6,0
"ул. 26-ти Бакинских Комиссаров, д.2Б",0389,False,POINT (37.4954392 55.6558941),12,12,0,6,0
"ул. Ботаническая, д.4, стр.6",0464,False,POINT (37.6010653 55.8302838),33,33,0,10,0
"1-я Останкинская ул., д.1",0465,False,POINT (37.617075 55.8243764),24,24,0,5,0
"ул. Академика Королёва, д.15, к.2",0469,False,POINT (37.6159792 55.8189299),12,12,0,6,0
"ул. Пятницкая, д.2/38",0080,False,POINT (37.6265178 55.7456921),12,12,0,1,0
"ул. Большая Татарская, д.19/13",0081,False,POINT (37.6333164 55.7398418),12,12,0,4,0
"ул. Большая Татарская, д.35",0084,False,POINT (37.6352882 55.7373622),12,12,0,1,0
"Котельническая наб., д.1",0085,False,POINT (37.645458 55.7483533),12,12,0,0,0
"ул. Мясницкая, д.11",0060,False,POINT (37.6331175 55.7617374),12,12,0,3,0
"ул. Академика Волгина, д.6",0390,False,POINT (37.5192587 55.6527248),12,12,0,8,0
"ул. Профсоюзная, д.88/20",0336,False,POINT (37.5323146 55.6505176),12,12,0,7,0
"Нахимовский пр-т, д.51/21 (ст. м. Профсоюзная, выход №7)",0394,False,POINT (37.5629419 55.6771438),12,12,0,3,0
ул. Болотниковская (парк им. 70-ти летия Победы),0309,False,POINT (37.5710478 55.6651369),12,12,0,7,0
"ул. Селезнёвская, д.28",0407,False,POINT (37.6079968 55.7806984),12,12,0,5,0
"пл. Европы, д.2 (у пешеходного моста)",0245,False,POINT (37.5693018 55.7421679),36,18,18,10,8
"Чонгарский б-р, д.1, к.1 (ст. м. Варшавская, выход №2)",0398,False,POINT (37.6180912 55.6530518),12,12,0,6,0
"ул. Б. Дорогомиловская, д.7/2",0248,False,POINT (37.5572575 55.746226),12,12,0,2,0
"ул. Сущёвский Вал, д.16, стр.1",0416,False,POINT (37.6023012 55.7924677),12,12,0,3,0
ст. м. Владыкино,0453,False,POINT (37.5897749 55.8459731),24,24,0,12,0
"Дмитровское ш., д.13А, к.3 (ст. м. Тимирязевская)",0485,False,POINT (37.5741987 55.8191407),12,12,0,7,0
"ул. Лобачевского, д.2, стр.1",0324,False,POINT (37.5091053 55.6638804),10,10,0,10,0
"Никитский б-р (напротив д.11/12, стр.3)",0005,False,POINT (37.5999825 55.7553104),12,12,0,5,0
"Чистопрудный б-р (напротив  д.8, стр.1)",0017,False,POINT (37.641671 55.763247),8,8,0,7,0
"ул. Миклухо-Маклая, д.6",0380,False,POINT (37.5006237 55.6533607),12,12,0,1,0
ст. м. Ленинский проспект (южный вестибюль),0323,False,POINT (37.58531 55.70674),24,24,0,13,0
"ул. Мясницкая, д.39, стр.1",0049,False,POINT (37.641517 55.76728),10,10,0,4,0
"ул. Мастеркова, д.3 (ст. м. Автозаводская)",0603,False,POINT (37.657647 55.7082873),15,15,0,0,0
"ул. Советской Армии, д.17/52",0422,False,POINT (37.6158903 55.792512),12,12,0,7,0
"ул. Чаянова, д.15",0404,False,POINT (37.5959992 55.776466),12,12,0,6,0
"ул. Малая Никитская, д.24, стр.2",0004,False,POINT (37.5874544 55.7591806),12,12,0,2,0
"ул. Самотечная, д.9",0412,False,POINT (37.6182931 55.776646),12,12,0,7,0
"Продольный пр-д, д.115А (ст. м. ВДНХ, северный вестибюль)",0475,False,POINT (37.6414493 55.8224303),24,24,0,0,0
"ул. Большая Дмитровка, д.2",0031,False,POINT (37.616547 55.759165),12,12,0,1,0
"Кремлёвская наб., д.1",0022,False,POINT (37.6101276 55.7464818),15,15,0,7,0
"ул. Каланчёвская, д.15А",0459,False,POINT (37.6520953 55.7724956),12,12,0,5,0
"Гоголевский б-р (напротив д.17, стр.1)",0002,False,POINT (37.5997037 55.7468663),14,14,0,4,0
"ул. Кржижановского, вл.22, стр.2",0305,False,POINT (37.5745946 55.678373),12,12,0,4,0
"ул. Покровка, д.7/9-11",0039,False,POINT (37.642574 55.759038),22,22,0,6,0
"Серебряническая наб., д.29",0058,False,POINT (37.654944 55.750628),12,12,0,2,0
"Космодамианская наб., д.46/50",0072,False,POINT (37.645943 55.7364956),20,20,0,1,0
Университетская пл. (напротив ГЗ МГУ),0349,True,POINT (37.535522 55.706203),24,24,0,24,0
"ул. Профсоюзная, д.91 (ст. м. Беляево, южный вестибюль)",0382,False,POINT (37.526472 55.642252),12,12,0,11,0
"ул. Введенского, д.13А",0379,True,POINT (37.541377 55.642636),12,12,0,0,0
"ул. Косыгина, д.18, стр.1",0343,False,POINT (37.554776 55.706491),24,24,0,1,0
"Ленинский пр-т, д.45",0318,False,POINT (37.5731731 55.7032184),12,12,0,5,0
"Ленинский пр-т, д.79",0321,False,POINT (37.540695 55.6841473),12,12,0,9,0
"ул. Профсоюзная, д.58/32, к.2 (ст. м. Новые Черёмушки, выход №3)",0332,False,POINT (37.5529925 55.6689814),24,24,0,17,0
"ул. Профсоюзная, д.61А (ст. м. Калужская)",0333,False,POINT (37.5397093 55.6560575),12,12,0,0,0
"пр-т Мира, д.97",0443,False,POINT (37.636561 55.8086515),12,12,0,6,0
"ул. Академика Королёва, д.12Б",0471,False,POINT (37.6095579 55.8218255),12,12,0,10,0
"ул. Шереметьевская, д.2 (ст. м. Марьина Роща, выход №5)",0417,False,POINT (37.6168972 55.7935234),12,12,0,12,0
"ул. Верхняя Радищевская, д.22 (ст. м. Таганская)",0146,False,POINT (37.65385 55.74229),12,12,0,12,0
"Нахимовский пр-т, д.45, стр.1",0393,False,POINT (37.5708842 55.6748694),12,12,0,5,0
"ул. Малая Грузинская, д.19/2",0236,False,POINT (37.5719413 55.7654099),12,12,0,10,0
"ул. Обручева, д.16, к.1",0339,False,POINT (37.5145855 55.6589469),12,12,0,7,0
ст. м. Сокольники,0489,False,POINT (37.679857 55.789152),24,24,0,16,0
"ул. Руставели (напротив д.6, к.5)",0484,False,POINT (37.5880136 55.8126995),12,12,0,9,0
"ул. Черняховского, д.4А",0528,False,POINT (37.53454 55.80364),15,15,0,10,0
"Симферопольский б-р, д.15, к.5",0399,False,POINT (37.6057778 55.653513),12,12,0,7,0
"ул. Вавилова, д.17",0308,False,POINT (37.579688 55.7015839),12,12,0,6,0
"ул. Мосфильмовская, д.1, стр.4",0342,False,POINT (37.5300029 55.7233339),12,12,0,5,0
"ул. Сокольнический Вал, д.8",0478,False,POINT (37.6599869 55.7925135),24,24,0,6,0
