code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
112,1271,11,1367,122,POINT (37.58738 55.76328),12," ул. Садовая-Кудринская, д.11, стр.1",713,52,17
114,1091,14,1350,99,POINT (37.590813 55.766245),12,"ул. Большая Садовая, д.1",693,51,10
116,2500,18,2688,153,POINT (37.594132 55.767816),12,"ул. Большая Садовая, д.14, стр.1",1490,55,20
118,2117,16,2376,153,POINT (37.599103 55.770646),12,"ул. Садовая-Триумфальная, д.4/10",1285,54,18
120,2833,18,2797,152,POINT (37.614186 55.773194),12,"ул. Садовая-Самотечная, д.8",1093,39,22
122,4107,31,3933,127,POINT (37.62121 55.77314),12,"Цветной б-р., д.34, стр.1",1979,50,21
124,1812,15,1684,112,POINT (37.621562 55.774063),12,"ул. Садовая-Сухаревская, д.5",802,48,22
125,709,10,785,81,POINT (37.6333 55.77293),12,"пр-т Мира, д.2",470,60,14
126,4223,29,4371,153,POINT (37.632814 55.772192),10,"Большая Сухаревская пл., д.2 (ст.м.Сухаревская)",1824,42,20
128,1819,13,1978,152,POINT (37.643192 55.770203),12,ул. Садовая-Спасская (напротив д.26),858,43,18
129,319,5,358,66,POINT (37.645046 55.770996),12,"Орликов пер., д.1/11 (со стороны пр. Академика Сахарова)",174,49,7
130,1994,18,2406,132,POINT (37.649155 55.768482),12,"ул. Садовая-Черногрязская, д.2",921,38,16
132,640,6,896,147,POINT (37.652142 55.767033),12,"ул. Садовая-Черногрязская, д.10/25",506,56,16
134,1960,14,2098,152,POINT (37.655228 55.765056),12,"ул. Садовая-Черногрязская, д.16/18, стр.1",829,40,20
136,2206,15,2285,152,POINT (37.656236 55.76337),12,"ул. Земляной Вал, д.2",1159,51,17
138,1308,10,1530,150,POINT (37.656947 55.760738),12,"ул. Земляной Вал, д.14/16, стр.1",896,59,19
140,5732,39,5942,153,POINT (37.657331 55.7593),12,"ул. Земляной Вал, д.24/30, стр.1",2410,41,18
142,1481,10,1523,151,POINT (37.655567 55.752247),12,"ул. Земляной Вал, д.48Б",781,51,17
144,1475,10,1431,150,POINT (37.655467 55.749356),12,"ул. Земляной Вал, д.52/16, стр.2",808,56,26
146,2834,22,2681,122,POINT (37.647831 55.737643),12,"Гончарная наб., д.3, стр.3",1665,62,34
148,4281,28,4246,153,POINT (37.63885 55.731861),12,"ул. Бахрушина, д.31/12, стр.3",1972,46,23
150,4406,28,4301,152,POINT (37.629661 55.729697),12,"ул. Валовая, д.20",1804,42,23
151,2174,21,2043,98,POINT (37.623162 55.729074),12,"ул. Люсиновская, д.2",980,48,32
152,3619,23,3436,148,POINT (37.610825 55.730486),8,"ул. Крымский Вал, д.4 (ст.м.Октябрьская)",2391,70,23
154,9166,59,8892,152,POINT (37.610658 55.729919),20,"ул. Крымский Вал, д.3, стр.16",5747,65,35
156,6663,55,6176,113,POINT (37.606376 55.731918),20,"ул. Крымский Вал, д.8, корп.2",3970,64,41
157,3308,43,2515,59,POINT (37.605268 55.731775),32,напротив входа в Парк Горького,1726,69,35
200,8906,55,8414,153,POINT (37.596925 55.733558),12,Фрунзенская наб. (напротив д.4),5027,60,25
201,6949,41,6200,152,POINT (37.589864 55.725747),22,Фрунзенская наб. (пересеч. с 1-ой Фрунзенской ул.),3642,59,28
202,2732,17,2588,152,POINT (37.584417 55.728007),12,Комсомольский пр-т (пересеч. с 1-ой Фрунзенской ул.),1288,50,27
203,2017,13,1876,145,POINT (37.579058 55.724242),9,Комсомольский пр-т (пересеч. со 2-ой Фрунзенской ул.),852,45,30
204,4326,26,3903,152,POINT (37.5864 55.72175),8,Фрунзенская наб. (пересеч. со 2-й Фрунзенской ул.),2406,62,26
205,3264,20,3104,152,POINT (37.575858 55.721972),12,Комсомольский пр-т (пересеч. с 3-ей Фрунзенской ул.),973,31,29
206,4261,26,3901,151,POINT (37.583486 55.719197),10,Фрунзенская наб. (пересеч. с 3-ей Фрунзенской ул.),2217,57,26
207,5144,39,4915,126,POINT (37.577989 55.715508),16,"Фрунзенская наб, д. 54 (пересеч. с ул. Хамовнический Вал)",2760,56,25
208,2741,18,2666,152,POINT (37.565242 55.723833),12,"ул. 10-летия Октября (напротив д.29, корп.3, ст.м.Спортивная)",1077,40,28
209,2748,17,2660,153,POINT (37.561797 55.721839),24,ст.м.Спортивная (выход к Хамовническому Валу),1126,42,33
