code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
41;3725;23;3568;153;POINT (37.635106 55.753925);8;Лубянский пр., д. 27/1, стр.1 (ст.м.Китай-город);2192;61;21;7293;23,32026144;47,66666667
43;4205;28;4250;151;POINT (37.59311 55.763584);12;Большой Патриарший пер., д.7;1917;45;28;8455;28,14569536;55,99337748
44;976;7;1011;151;POINT (37.596492 55.766467);12;Благовещенский пер., д.1;490;48;25;1987;6,695364238;13,1589404
45;2063;15;2365;153;POINT (37.599603 55.768055);12;ул. Тверская, д.24, стр.1;1320;56;18;4428;15,45751634;28,94117647
46;2075;15;2215;152;POINT (37.602422 55.766494);12;ул. Тверская, д.20, стр.1;1233;56;18;4290;14,57236842;28,22368421
47;1214;12;1306;112;POINT (37.605453 55.769588);12;ул. Малая Дмитровка, д.15;570;44;18;2520;11,66071429;22,5
49;331;7;452;67;POINT (37.641539 55.767169);10;ул. Мясницкая, д.39, стр.1;240;53;17;783;6,746268657;11,68656716
50;3031;20;2844;144;POINT (37.599867 55.752609);12;ул. Новый Арбат, д.1;1650;58;20;5875;19,75;40,79861111
51;3248;20;3126;153;POINT (37.596453 55.75259);12;ул. Новый Арбат, д.11;1644;53;21;6374;20,43137255;41,66013072
52;3217;21;3140;151;POINT (37.589395 55.752291);12;ул. Новый Арбат, д.19;1608;51;19;6357;20,79470199;42,09933775
53;4041;25;3866;152;POINT (37.584725 55.752153);12;ул. Новый Арбат, д.21;1819;47;17;7907;25,43421053;52,01973684
54;2542;17;2584;151;POINT (37.591947 55.747508);12;пер. Сивцев Вражек, д.26, стр.1;813;31;20;5126;17,11258278;33,94701987
55;1502;16;1530;98;POINT (37.589738 55.740126);12;ул. Пречистенка, д.34;625;41;15;3032;15,6122449;30,93877551
56;2388;15;2219;152;POINT (37.610828 55.745244);12;Берсеньевская наб., д.20/2 (Театр эстрады);1179;53;24;4607;14,59868421;30,30921053
57;3337;20;3104;153;POINT (37.615425 55.744008);12;Болотная пл. (напротив к/т Ударник);2080;67;26;6441;20,2875817;42,09803922
58;1229;8;1248;148;POINT (37.654944 55.750628);12;Серебряническая наб., д.29;385;31;19;2477;8,432432432;16,73648649
