"id";"geom";"address";"is_locked";"station_type";"totalplaces";"rides_per_day"
"383";"POINT (37.543148 55.637955)";"ул. Миклухо-Маклая, д.44 (вход в Битцевский парк)";"False";"Велосипед";"12";
"230";"POINT (37.5730793 55.7724736)";"ул. Малая Грузинская, д.41";"False";"Велосипед";"12";
"301";"POINT (37.545765 55.700717)";"пр-т Вернадского, ост. Университетский пр-т";"False";"Велосипед";"12";
"381";"POINT (37.5137244 55.6477514)";"ул. Академика Волгина, д.21";"False";"Велосипед";"12";
"38";"POINT (37.634929 55.7576991)";"ул. Маросейка, д.9";"False";"Велосипед";"12";
"359";"POINT (37.533756 55.695176)";"Ломоносовский пр-т (дублёр, напротив д.1, стр.64)";"False";"Велосипед";"18";
"254";"POINT (37.55293 55.75851)";"Шмитовский пр-д, д.9/5";"False";"Велосипед";"12";
"503";"POINT (37.5272596 55.7918581)";"ул. Авиаконструктора Микояна, д.10";"False";"Велосипед";"15";
"377";"POINT (37.60489 55.640518)";"ст. м. Чертановская (выход №5)";"False";"Велосипед";"12";
"453";"POINT (37.5897749 55.8459731)";"ст. м. Владыкино";"False";"Велосипед";"24";
"47";"POINT (37.6116459 55.7700911)";"ул. Каретный Ряд, д.3, стр.11";"False";"Велосипед";"12";
"501";"POINT (37.51401 55.78389)";"ул. Куусинена, д.13";"False";"Велосипед";"15";
"319";"POINT (37.550726 55.69062)";"Ленинский пр-т, д.69";"False";"Велосипед";"15";
"1";"POINT (37.6020183 55.7449006)";"ст. м. Кропоткинская (выход к Гоголевскому бульвару)";"False";"Велосипед";"12";
"76";"POINT (37.6286203 55.7420854)";"ул. Пятницкая, д.25, стр.1Д (рядом со ст. м. Новокузнецкая)";"False";"Велосипед";"16";
"106";"POINT (37.582947 55.748114)";"Смоленская пл., д.6, стр.1 (рядом со ст. м. Смоленская)";"False";"Велосипед";"12";
"528";"POINT (37.53454 55.80364)";"ул. Черняховского, д.4А";"False";"Велосипед";"15";
"110";"POINT (37.584875 55.75849)";"Кудринская пл., д.46/54, стр.1";"False";"Велосипед";"12";
"496";"POINT (37.70286 55.78491)";"ул. Электрозаводская, д.21, стр.13";"False";"Велосипед";"12";
"8";"POINT (37.601473 55.761072)";"Тверской б-р (напротив д.17, стр.1)";"False";"Велосипед";"14";
"485";"POINT (37.5741987 55.8191407)";"Дмитровское ш., д.13А, к.3 (ст. м. Тимирязевская)";"False";"Велосипед";"12";
"455";"POINT (37.6661093 55.7798124)";"ул. Краснопрудная, д.13А (ст. м. Красносельская)";"False";"Велосипед";"18";
"346";"POINT (37.5931 55.71599)";"Ленинский пр-т, д.27";"False";"Велосипед";"12";
"71";"POINT (37.6417277 55.7434283)";"Космодамианская наб., д.22, стр.1";"False";"Велосипед";"12";
"370";"POINT (37.5389143 55.6649089)";"ул. Воронцовские Пруды, д.3";"False";"Велосипед";"12";
"267";"POINT (37.637515 55.726421)";"ул. Дубининская, д.25, стр.1";"False";"Велосипед";"12";
"229";"POINT (37.5525262 55.764259)";"Звенигородское ш., д.7";"False";"Велосипед";"12";
"304";"POINT (37.6121883 55.7277408)";"Калужская пл., д.1, к.3";"False";"Велосипед";"12";
"448";"POINT (37.66064 55.81372)";"Рижский пр-д, д.8";"False";"Велосипед";"15";
"52";"POINT (37.6014341 55.7530475)";"Никитский б-р (напротив д.8А/3,  стр.1)";"False";"Велосипед";"12";
"146";"POINT (37.65385 55.74229)";"ул. Верхняя Радищевская, д.22 (ст. м. Таганская)";"False";"Велосипед";"12";
"607";"POINT (37.6639974 55.7232251)";"ул. Симоновский Вал, д.13, к.2";"False";"Велосипед";"15";
"438";"POINT (37.6531 55.81177)";"ул. Маломосковская, д.22, стр.1";"False";"Велосипед";"15";
"382";"POINT (37.526472 55.642252)";"ул. Профсоюзная, д.91 (ст. м. Беляево, южный вестибюль)";"False";"Велосипед";"12";
"511";"POINT (37.53027 55.80055)";"Ленинградский пр-т, д.49/2 (ст. м. Аэропорт)";"False";"Велосипед";"15";
"322";"POINT (37.5201768 55.6705635)";"Ленинский пр-т, д.99";"False";"Велосипед";"12";
"84";"POINT (37.6352882 55.7373622)";"ул. Большая Татарская, д.35";"False";"Велосипед";"12";
"276";"POINT (37.49521 55.70393)";"ул. Мосфильмовская, д.55";"False";"Велосипед";"15";
"513";"POINT (37.56091 55.78654)";"Ленинградский пр-т, д.33, к.1";"False";"Велосипед";"15";
"237";"POINT (37.5655623 55.7692458)";"ул. Пресненский Вал, д.24";"False";"Велосипед";"12";
"473";"POINT (37.6042362 55.8218703)";"ул. Академика Королёва, д.12А";"False";"Велосипед";"12";
"69";"POINT (37.610879 55.7390438)";"Якиманская наб., д.2";"False";"Велосипед";"18";
"262";"POINT (37.6220242 55.7209237)";"ул. Люсиновская, д.48/50, к.10 (пересеч. с ул. Павла Андреева)";"False";"Велосипед";"12";
"379";"POINT (37.541377 55.642636)";"ул. Введенского, д.13А";"True";"Велосипед";"12";
"348";"POINT (37.5159465 55.7155927)";"ул. Мосфильмовская, д.17/25";"False";"Велосипед";"12";
"320";"POINT (37.546468 55.688153)";"Ленинский пр-т, д.73/8";"False";"Велосипед";"15";
"115";"POINT (37.594487 55.768127)";"Триумфальная пл., д.2 (вход в сад Аквариум)";"False";"Велосипед";"20";
"504";"POINT (37.53766 55.78664)";"Ходынский б-р, д.3";"False";"Велосипед";"15";
"60";"POINT (37.6331175 55.7617374)";"ул. Мясницкая, д.11";"False";"Велосипед";"12";
"415";"POINT (37.5905396 55.7914268)";"ул. Сущёвский Вал, д.2";"False";"Велосипед";"12";
"399";"POINT (37.6057778 55.653513)";"Симферопольский б-р, д.15, к.5";"False";"Велосипед";"12";
"289";"POINT (37.59469 55.66734)";"Нахимовский пр-т, д.10";"False";"Велосипед";"12";
"613";"POINT (37.6637295 55.7170746)";"ул. Велозаводская, д.2";"False";"Велосипед";"15";
"268";"POINT (37.62786 55.72113)";"ул. Павловская, д.7";"False";"Велосипед";"12";
"452";"POINT (37.6364267 55.8434843)";"ст. м. Ботанический сад (ул. Вильгельма Пика)";"False";"Велосипед";"12";
"615";"POINT (37.6699924 55.7394363)";"ул. Таганская, д.31/22";"False";"Велосипед";"12";
"522";"POINT (37.53978 55.79759)";"Ленинградский пр-т, д.54/1";"False";"Велосипед";"15";
"329";"POINT (37.5372313 55.6760559)";"ул. Гарибальди, д.6, к.1";"False";"Велосипед";"12";
"44";"POINT (37.596239 55.766531)";"Благовещенский пер., д.1";"False";"Велосипед";"12";
"401";"POINT (37.589687 55.775457)";"2-я Тверская-Ямская ул., д.54";"False";"Велосипед";"12";
